DRAWS,GA,GAMES,GD,GF,LOSES,PLAYOFF_ROUND,POINTS,SHOOT_OUT_LOSES,SHOOT_OUT_WINS,SO,STANDINGS_RANK,TEAM,WINS,YEAR,,,,
7,50,34,8,58,11,1,55,,,,5,Philadelphia Union,16,2019,,,,
5,41,34,4,45,13,1,53,,,,6,Real Salt Lake,16,2019,,,,
8,42,34,10,52,11,0.5,53,,,,7,Minnesota United FC,15,2019,,,,
3,55,34,1,56,15,1,51,,,,8,LA Galaxy,16,2019,,,,
11,52,34,5,57,10,3,50,,,,9,Toronto FC,13,2019,,,,
11,38,34,4,42,10,0.5,50,,,,10,D.C. United,13,2019,,,,
7,48,34,1,49,13,0.5,49,,,,11,Portland Timbers,14,2019,,,,
6,51,34,2,53,14,0.5,48,,,,12,New York Red Bulls,14,2019,,,,
9,46,34,2,48,12,0.5,48,,,,13,FC Dallas,13,2019,,,,
12,57,34,-7,50,11,0.5,45,,,,14,New England Revolution,11,2019,,,,
5,52,34,-1,51,16,0,44,,,,15,San Jose Earthquakes,13,2019,,,,
12,47,34,8,55,12,0,42,,,,16,Chicago Fire,10,2019,,,,
6,60,34,-3,57,16,0,42,,,,17,Colorado Rapids,12,2019,,,,
5,60,34,-13,47,17,0,41,,,,18,Montreal Impact,12,2019,,,,
4,57,34,-12,45,18,0,40,,,,19,Houston Dynamo,12,2019,,,,
8,47,34,-8,39,16,0,38,,,,20,Columbus Crew SC,10,2019,,,,
8,61,34,-12,49,16,0,38,,,,21,Sporting Kansas City,10,2019,,,,
10,52,34,-8,44,15,0,37,,,,22,Orlando City SC,9,2019,,,,
10,58,34,-21,37,16,0,34,,,,23,Vancouver Whitecaps FC,8,2019,,,,
6,75,34,-44,31,22,0,24,,,,24,FC Cincinnati,6,2019,,,,
